llm,granularity,feature,feature_full_name,p_value,cliff_delta,effect_size,direction,human_median,llm_median,human_mean,llm_mean,significant_corrected,significant_uncorrected
claude-4-5-haiku,class,AvgCountLine,Average Lines,2.0425223847118316e-20,0.06916697301976728,Negligible,↓,8.0,8.0,9.901536136993201,10.551834130781499,True,True
claude-4-5-haiku,class,AvgCountLineBlank,Average Blank Lines,0.0,0.3022085558898505,Small,↓,0.0,0.0,0.2872492235373122,1.0214891295223705,True,True
claude-4-5-haiku,class,AvgCountLineCode,Average Code Lines,1.0338472739931718e-07,0.039690995679390766,Negligible,↓,6.0,6.0,7.844203810962814,7.61840006715353,True,True
claude-4-5-haiku,class,AvgCountLineComment,Average Comment Lines,4.085974416488664e-13,0.0515583231513337,Negligible,↓,1.0,1.0,1.8018970872156468,1.9952153110047848,True,True
claude-4-5-haiku,class,AvgCyclomatic,Average Cyclomatic Complexity,0.9588316683306604,0.0003747545202874735,Negligible,↓,2.0,2.0,2.403928481490808,2.2937966926886593,False,False
claude-4-5-haiku,class,AvgCyclomaticModified,Average Modified Cyclomatic Complexity,0.9434160771276223,0.0005152777768089191,Negligible,↓,2.0,2.0,2.403340888105431,2.2937966926886593,False,False
claude-4-5-haiku,class,AvgCyclomaticStrict,Average Strict Cyclomatic Complexity,0.2725745619504981,-0.008005259655206534,Negligible,↓,2.0,2.0,2.6356921010660623,2.4647024259212627,False,False
claude-4-5-haiku,class,AvgCyclomaticStrictModified,Average Strict Modified Cyclomatic Complexity,0.2804540134877448,-0.00787493231465493,Negligible,↓,2.0,2.0,2.635104507680685,2.4647024259212627,False,False
claude-4-5-haiku,class,AvgEssential,Average Essential Complexity,0.00530771256550187,-0.017649144636283386,Negligible,↓,1.0,1.0,1.4109796021153362,1.3553261143288844,False,True
claude-4-5-haiku,class,CountClassBase,Base Classes,0.6067816747066772,0.0010904204479369579,Negligible,↓,0.0,0.0,0.028540250146898347,0.029631495005456223,False,False
claude-4-5-haiku,class,CountClassCoupled,Coupled Classes,0.0012023895257571656,-0.02388156914428059,Negligible,↓,2.0,2.0,2.6946193234281877,2.4322169059011163,False,True
claude-4-5-haiku,class,CountClassCoupledModified,Coupled Classes Modified,1.837245324172001e-74,0.03453246817568901,Negligible,↓,0.0,0.0,0.005036514731805591,0.061277595903634685,True,True
claude-4-5-haiku,class,CountClassDerived,Derived Classes,0.40507830709421766,0.00025193143025962827,Negligible,↓,0.0,0.0,0.0004197095609837992,0.0012591286829513977,False,False
claude-4-5-haiku,class,CountDeclInstanceMethod,Instance Methods,7.097322690880362e-21,0.06985768819520584,Negligible,↑,4.0,5.0,5.863594392680265,6.338369848065139,True,True
claude-4-5-haiku,class,CountDeclInstanceVariable,Instance Variables,4.300325739142104e-06,0.033928640242699724,Negligible,↓,2.0,2.0,3.6362796944514395,3.51657852765886,True,True
claude-4-5-haiku,class,CountDeclMethod,Methods,1.3533473835908236e-24,0.07632836737264893,Negligible,↑,4.0,5.0,6.352639973138588,6.857298749265508,True,True
claude-4-5-haiku,class,CountDeclMethodAll,All Methods,1.1059160403718968e-24,0.07647402029525611,Negligible,↑,4.0,5.0,6.356081591538655,6.861999496348527,True,True
