Repetition,Fold,LR,NB,KNN,SVM,RF,XGB,CatBoost,MLP
14,3,0.8433791120766256,0.7950796567750374,0.8316119967980937,0.8598775171794157,0.8772749444235852,0.8976480083328837,0.8987474248768731,0.8897153628735236
14,4,0.8086371088593044,0.766732106816823,0.82759089592814,0.8522487665284092,0.8679092587719346,0.8832493401849134,0.8880433908935058,0.8799307207922407
14,5,0.817600354103516,0.7699097894867811,0.8213026957451424,0.847508668158981,0.8617014365636103,0.8860091674933853,0.8868817639992557,0.8803298579952412
14,6,0.8156492613484341,0.800233206233367,0.8357822924018591,0.8566145017281265,0.8682621511127945,0.8855142373616646,0.8896234236833153,0.8822528735125944
14,7,0.815764873503786,0.7817495752629625,0.812651603320381,0.8433477316344586,0.866754788820635,0.8839171380155889,0.8864281239230177,0.8811908932855764
14,8,0.8404546750802954,0.7912347268084768,0.8354839029342365,0.855962118851498,0.8840057740013586,0.8942490109655378,0.8995721249183832,0.8897153628735236
14,9,0.8307487593714664,0.7825665678274494,0.8242480530362505,0.8478615604998408,0.8640334988972804,0.8774235886233235,0.8843432513881716,0.8779091596758015
14,10,0.8274284883765741,0.7800605367266786,0.837291856830311,0.8595609600873808,0.8703613375335414,0.8808429557513744,0.8885763078762708,0.8796527010853229
15,1,0.7988469614372904,0.7685719916891376,0.8274829912498115,0.8327664667493936,0.8597332772522622,0.8755402115592336,0.878403539273449,0.8738071302971012
15,2,0.8235351114115804,0.7888503637378621,0.8284987266146889,0.8584940250537046,0.8705743942198326,0.8882724130679172,0.8902422239814843,0.88095746683858
15,3,0.8433791120766256,0.7950796567750374,0.8316119967980937,0.8598775171794157,0.8769385681049185,0.8976480083328837,0.8991559211591164,0.8884480334372375
15,4,0.8086371088593044,0.766732106816823,0.82759089592814,0.8522487665284092,0.8681267197308108,0.8832493401849134,0.8874609258441614,0.8845073105419566
15,5,0.817600354103516,0.7699097894867811,0.8213026957451424,0.847508668158981,0.8614124061752306,0.8860091674933853,0.8879255766018616,0.8824229885411837
15,6,0.8156492613484341,0.800233206233367,0.8357822924018591,0.8566145017281265,0.865531502110197,0.8855142373616646,0.8893955025770499,0.8820293566789141
15,7,0.815764873503786,0.7817495752629625,0.812651603320381,0.8433477316344586,0.8684669497879893,0.8839171380155889,0.8865294221924689,0.8833021914559314
15,8,0.8404546750802954,0.7912347268084768,0.8354839029342365,0.855962118851498,0.8865029965569597,0.8942490109655378,0.8998022481609411,0.8934463322869516
15,9,0.8307487593714664,0.7825665678274494,0.8242480530362505,0.8478615604998408,0.8634196534057691,0.8774235886233235,0.8842650755497908,0.8773949608515221
15,10,0.8274284883765741,0.7800605367266786,0.837291856830311,0.8595609600873808,0.8684240081302872,0.8808429557513744,0.8881700137303197,0.8822490197740829
16,1,0.7988469614372904,0.7685719916891376,0.8274829912498115,0.8327664667493936,0.8611905409437696,0.8755402115592336,0.8778981489943394,0.872940039131962
16,2,0.8235351114115804,0.7888503637378621,0.8284987266146889,0.8584940250537046,0.8714695626227003,0.8882724130679172,0.8903798574997606,0.8845986991980921
